"profissao_especifica","profissao_reduzida","categoria"
"professor","professor","Educação"
"advogado","advogado","Outros"
"tutor","tutor","Educação"
"terapeuta","terapeuta","Saúde"
"candidato politico","politico","Política"
"medico otorrinolaringologista","medico","Saúde"
"blogueiro(a)","criador de conteudo","Conteúdo Digital"
"juridico","juridico","Outros"
"educacao","educacao","Outros"
"engenheiro eletronico","engenheiro eletronico","Outros"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"jornalista","jornalista","Comunicação"
"apresentadora","apresentadora","Comunicação"
"medico oncologista","medico","Saúde"
"politico","politico","Política"
"europarlamentar","politico","Política"
"terapeuta holistica","terapeuta holistica","Saúde"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"medico infectologista","medico","Saúde"
"medico reumatologista","medico","Saúde"
"medica fonoaudiologa","medico","Saúde"
"deputado federal","politico","Política"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"medico oncologista","medico","Saúde"
"deputado federal","politico","Política"
"engenheiro de automacao e controle","engenheiro de automacao e controle","Outros"
"projetista","projetista","Outros"
"professor","professor","Educação"
"advogado","advogado","Outros"
"tutor","tutor","Educação"
"terapeuta","terapeuta","Saúde"
"candidato politico","politico","Política"
"medico otorrinolaringologista","medico","Saúde"
"blogueiro(a)","criador de conteudo","Conteúdo Digital"
"juridico","juridico","Outros"
"educacao","educacao","Outros"
"engenheiro eletronico","engenheiro eletronico","Outros"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"jornalista","jornalista","Comunicação"
"apresentadora","apresentadora","Comunicação"
"medico oncologista","medico","Saúde"
"politico","politico","Política"
"europarlamentar","politico","Política"
"terapeuta holistica","terapeuta holistica","Saúde"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"medico infectologista","medico","Saúde"
"medico reumatologista","medico","Saúde"
"medica fonoaudiologa","medico","Saúde"
"deputado federal","politico","Política"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"medico oncologista","medico","Saúde"
"deputado federal","politico","Política"
"engenheiro de automacao e controle","engenheiro de automacao e controle","Outros"
"projetista","projetista","Outros"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"medico oncologista e radiologista","medico","Saúde"
"jornalista","jornalista","Comunicação"
"escritora","escritora","Comunicação"
"medico oftalmologista","medico","Saúde"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"medica investigativa","medico","Saúde"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"advogado","advogado","Outros"
"professor","professor","Educação"
"pastor","pastor","Outros"
"jornalista","jornalista","Comunicação"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"advogado","advogado","Outros"
"geografo","geografo","Outros"
"advogado","advogado","Outros"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"medico infectologista","medico","Saúde"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"medica clinica","medico","Saúde"
"jornalista","jornalista","Comunicação"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"medico ciurgiao geral","medico","Saúde"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"medico infectologista","medico","Saúde"
"medico clinico","medico","Saúde"
"neurocientista","neurocientista","Saúde"
"terapeuta","terapeuta","Saúde"
"palestrante","palestrante","Outros"
"professor","professor","Educação"
"medico neurocirurgiao","medico","Saúde"
"escritor","escritor","Comunicação"
"medico cirurgiao geral","medico","Saúde"
"medico clinico geral","medico","Saúde"
"medica cirurgia dentista","medico","Saúde"
"terapeuta neural","terapeuta neural","Saúde"
"medica otorrinolaringologista","medico","Saúde"
"medico cardiologista","medico","Saúde"
"medico","medico","Saúde"
"medico neurologista e neurocirurgiao","medico","Saúde"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"medico","medico","Saúde"
"apresentador","apresentador","Comunicação"
"professor","professor","Educação"
"medico hematologista e oncologista","medico","Saúde"
"medicos infectologistas","medico","Saúde"
"professora","professora","Educação"
"medica epidemiologista","medico","Saúde"
"enfermeira","enfermeira","Saúde"
"medico cirurgiao geral","medico","Saúde"
"professor","professor","Educação"
"professor","professor","Educação"
"medico farmacologista","medico","Saúde"
"medico fisioterapeuta","medico","Saúde"
"medica","medico","Saúde"
"medico oncologista","medico","Saúde"
"deputado federal","politico","Política"
"medico cirurgiao pediatrico","medico","Saúde"
"deputado federal","politico","Política"
"farmacologo","farmacologo","Saúde"
"medico pediatra","medico","Saúde"
"empreendedor(a)","empreendedor(a)","Outros"
"deputado estadual","politico","Política"
"medico","medico","Saúde"
"senador","politico","Política"
"deputado federal","politico","Política"
"general","general","Outros"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"politico","politico","Política"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"medico ciurgiao geral","medico","Saúde"
"senador","politico","Política"
"biologo","biologo","Outros"
"professor","professor","Educação"
"escritor","escritor","Comunicação"
"produtor","produtor","Outros"
"deputado estadual e politico","politico","Política"
"ex ministro da saude","ex ministro da saude","Outros"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"medico oncologista e radiologista","medico","Saúde"
"jornalista","jornalista","Comunicação"
"escritora","escritora","Comunicação"
"medico oftalmologista","medico","Saúde"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"medica investigativa","medico","Saúde"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"advogado","advogado","Outros"
"professor","professor","Educação"
"pastor","pastor","Outros"
"jornalista","jornalista","Comunicação"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"advogado","advogado","Outros"
"geografo","geografo","Outros"
"advogado","advogado","Outros"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"medico infectologista","medico","Saúde"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"medica clinica","medico","Saúde"
"jornalista","jornalista","Comunicação"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"medico ciurgiao geral","medico","Saúde"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"medico infectologista","medico","Saúde"
"medico clinico","medico","Saúde"
"neurocientista","neurocientista","Saúde"
"terapeuta","terapeuta","Saúde"
"palestrante","palestrante","Outros"
"professor","professor","Educação"
"medico neurocirurgiao","medico","Saúde"
"escritor","escritor","Comunicação"
"medico cirurgiao geral","medico","Saúde"
"medico clinico geral","medico","Saúde"
"medica cirurgia dentista","medico","Saúde"
"terapeuta neural","terapeuta neural","Saúde"
"medica otorrinolaringologista","medico","Saúde"
"medico cardiologista","medico","Saúde"
"medico","medico","Saúde"
"medico neurologista e neurocirurgiao","medico","Saúde"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"medico","medico","Saúde"
"apresentador","apresentador","Comunicação"
"professor","professor","Educação"
"medico hematologista e oncologista","medico","Saúde"
"medicos infectologistas","medico","Saúde"
"professora","professora","Educação"
"medica epidemiologista","medico","Saúde"
"enfermeira","enfermeira","Saúde"
"professor","professor","Educação"
"medico farmacologista","medico","Saúde"
"medico fisioterapeuta","medico","Saúde"
"medico oncologista","medico","Saúde"
"deputado federal","politico","Política"
"medico cirurgiao pediatrico","medico","Saúde"
"deputado federal","politico","Política"
"farmacologo","farmacologo","Saúde"
"medico pediatra","medico","Saúde"
"empreendedor(a)","empreendedor(a)","Outros"
"deputado estadual","politico","Política"
"medico","medico","Saúde"
"senador","politico","Política"
"deputado federal","politico","Política"
"general","general","Outros"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"politico","politico","Política"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"medico ciurgiao geral","medico","Saúde"
"senador","politico","Política"
"biologo","biologo","Outros"
"professor","professor","Educação"
"escritor","escritor","Comunicação"
"produtor","produtor","Outros"
"criador de video","criador de video","Outros"
"deputado estadual e politico","politico","Política"
"vereadora do maranhao","politico","Política"
"vereador de maceio","politico","Política"
"agencia de noticias","agencia de noticias","Comunicação"
"agencia de noticias","agencia de noticias","Comunicação"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"jornalista","jornalista","Comunicação"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"instituto de saude","instituto de saude","Outros"
"jornalista","jornalista","Comunicação"
"instituto de saude","instituto de saude","Outros"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"´otica","´otica","Outros"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"loja de pulseiras","loja de pulseiras","Outros"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"criador(a) de conteudo digital","criador de conteudo","Conteúdo Digital"
"medico infectologista","medico","Saúde"
"medico","medico","Saúde"
"enfermeira","enfermeira","Saúde"
"enfermeira","enfermeira","Saúde"
"especialista em uti e saude","especialista em uti e saude","Outros"
"professor","professor","Educação"
"biologo","biologo","Outros"
"medico imunologista","medico","Saúde"
"neurocientista","neurocientista","Saúde"
"fitoterapeuta","fitoterapeuta","Saúde"
"pediatra","pediatra","Saúde"
"medico hematologista","medico","Saúde"
"professor","professor","Educação"
"nutricionista","nutricionista","Outros"
"medico ginecologista","medico","Saúde"
"massoterapeuta","massoterapeuta","Saúde"
"enfermeira","enfermeira","Saúde"
"professora","professora","Educação"
"deputado estadual","politico","Política"
"medico neuropediatra","medico","Saúde"
"terapeuta","terapeuta","Saúde"
"enfermeira","enfermeira","Saúde"
"corretor de imoveis","corretor de imoveis","Outros"
"medico cardiologista","medico","Saúde"
"deputado estadual","politico","Política"
"medico","medico","Saúde"
"medica","medico","Saúde"
"medica radiologista","medico","Saúde"
"medico","medico","Saúde"
"apresentador","apresentador","Comunicação"
"medico hematologista","medico","Saúde"
"enfermeiro","enfermeiro","Saúde"
"medico cardiologista","medico","Saúde"
"deputado estadual","politico","Política"
"medico","medico","Saúde"
"medica","medico","Saúde"
"medica radiologista","medico","Saúde"
"medico","medico","Saúde"
"apresentador","apresentador","Comunicação"
"medico hematologista","medico","Saúde"
"enfermeiro","enfermeiro","Saúde"
