"perfil","link_do_perfil","antivax","provax","conspiracionista","negacionista","profissao"
"drfranciscocardoso79","https://www.tiktok.com/@drfranciscocardoso79",TRUE,NA,FALSE,TRUE,"Médico infectologista"
"drdrew","https://www.tiktok.com/@drdrew",TRUE,NA,FALSE,TRUE,"Médico"
"enfermeiralavinia","https://www.tiktok.com/@enfermeiralavinia",FALSE,NA,FALSE,FALSE,"Enfermeira"
"elcimarasouza173","https://www.tiktok.com/@elcimarasouza173",FALSE,NA,FALSE,FALSE,"Enfermeira; Especialista em UTI e Saúde"
"julioluchmann","https://www.tiktok.com/@julioluchmann",TRUE,NA,FALSE,TRUE,"Neurocientista; Fitoterapeuta"
"dr.igorbiao","https://www.tiktok.com/@dr.igorbiao",FALSE,NA,FALSE,FALSE,"Pediatra; Médico hematologista; Professor"
"nutrijanacaiado","https://www.tiktok.com/@nutrijanacaiado",FALSE,NA,FALSE,FALSE,"Nutricionista"
"drnorbertomaffei","https://www.tiktok.com/@drnorbertomaffei",FALSE,NA,FALSE,FALSE,"Médico ginecologista"
"nilvamirandabeautycenter","https://www.tiktok.com/@nilvamirandabeautycenter",FALSE,NA,FALSE,FALSE,"Massoterapeuta"
"elcimarasouza173","https://www.tiktok.com/@elcimarasouza173",FALSE,NA,FALSE,FALSE,"Enfermeira; Professora"
"deputadolucasneves","https://www.tiktok.com/@deputadolucasneves",FALSE,NA,FALSE,FALSE,"Deputado Estadual"
"doutormarcone","https://www.tiktok.com/@doutormarcone",FALSE,NA,FALSE,FALSE,"Médico neuropediatra"
"aloeterapeuta","https://www.tiktok.com/@aloeterapeuta",FALSE,NA,FALSE,FALSE,"Terapeuta"
"tecenfermagem00","https://www.tiktok.com/@tecenfermagem00",FALSE,NA,FALSE,FALSE,"Enfermeira"
"ocaradosapartamentos","https://www.tiktok.com/@ocaradosapartamentos",FALSE,NA,FALSE,FALSE,"Corretor de imóveis"
