"link_de_post","conteudo_de_post","antivax","provax","conspiracionista","negacionista","profissao"
"https://www.kwai.com/@titosantos6512/video/5247688096479883027","Por que não inventam vacina contra corrupção? Só assim o mundo estará livre das doenças",TRUE,NA,TRUE,TRUE,""
"https://www.kwai.com/@tabhc330/video/5210533396640740363","Fujam da vacina bivalente, ela contém vacina da covid cuja objetivo é eliminar 50% da população",TRUE,NA,TRUE,TRUE,"Criador de conteúdo digital"
"https://www.kwai.com/@aljwy933/video/5238680899638260626","Número de infartos e avc aumentando",TRUE,NA,TRUE,TRUE,"Criador de conteúdo digital"
"https://www.kwai.com/@julanifelskegabriel/video/5250784317514349854","O óxido de grafeno torna o vacinado um condutor eletromagnético",TRUE,NA,TRUE,FALSE,"Criador de conteúdo digital"
"https://www.kwai.com/@genisantos70/video/5253599067506474953","Criança morre ao ser vacinada pela covid-19",TRUE,NA,FALSE,TRUE,"Criador de conteúdo digital"
"https://www.kwai.com/@ecwvv980/video/5231925451194689137","Vacinas são bombas relógio",TRUE,NA,TRUE,TRUE,"Criador de conteúdo digital"
"https://www.kwai.com/@hady632/video/5245717766968455110","Contaminação por grafeno",TRUE,NA,TRUE,TRUE,"Criador de conteúdo digital"
"https://www.kwai.com/@destaquenews361/video/5232488449495572028","Efeitos colaterais da vacina do HPV: vacinação proibida já ",TRUE,NA,FALSE,TRUE,"Criador de conteúdo digital"
"https://www.kwai.com/@APGO1000graus/video/5229110748840138222","Médico alerta sobre os efeitos colaterais graves da covid-19 ",TRUE,NA,FALSE,TRUE,"Médico "
"https://www.kwai.com/@sosoturna/video/5228829268789554340","USA descobre que covid-19 pode ter sido uma criação de um laboratório chinês",TRUE,NA,TRUE,FALSE,"Voz de inteligência artificial "
"https://www.kwai.com/@direitaconserv22/video/5236429095545971717","Bolsonaro tinha razão: morte por coágulo sanguíneo suspendeu o uso da vacina da covid-19 na Europa",TRUE,NA,FALSE,TRUE,"Jornalista"
"https://www.kwai.com/@reginaramos506/video/5244591869911138177","A verdade sobre a vacina: Bolsonaro tomou as ações corretas",TRUE,NA,FALSE,TRUE,"Advogado "
"https://www.kwai.com/@uwecj389/video/5202370622764909053","Austrália entendeu o risco das vacinas e a proíbem ",TRUE,NA,TRUE,TRUE,"Médico "
"https://www.kwai.com/@MRagazza/video/5226858950079961463","Estão querendo obrigar uma vacina às crianças que podem causar altos danos",TRUE,NA,FALSE,TRUE,"Médico "
"https://www.kwai.com/@/video/5219540600340091106","As quatro maneiras de morte pelas vacinas contra covid-19: por Peter Mccullouh",TRUE,NA,TRUE,TRUE,"Médico Cardiologista "
"https://www.kwai.com/@verdadeescondida777/video/5215599949222447585","Crime e persiguição aos pais que não vacinaram seus filhos",TRUE,NA,FALSE,TRUE,"Advogado"
"https://www.kwai.com/@sxggl241/video/5236147577544567826","Reação da vacina Pfizer",TRUE,NA,FALSE,FALSE,"Vítima da reação "
"https://www.kwai.com/@verdadeescondida777/video/5215599949222447590","Crime e persiguição aos pais que não vacinaram seus filhos",TRUE,NA,FALSE,TRUE,""
"https://www.kwai.com/@jpqhc971/video/5217851705110332394","Mais uma vítima das vacinas da morte",TRUE,NA,FALSE,TRUE,""
